Latitude,Longitude
40.34880187,-74.65886884
40.34893026,-74.65906194
40.34887991,-74.65936854
40.34879809,-74.65948574
40.3489202,-74.65938816
40.34889004,-74.65935181
40.34890924,-74.65916764
40.34886436,-74.65936089
40.34888889,-74.65916667
40.3489112,-74.65944227
40.34886433,-74.65934861
40.34886321,-74.65936114
40.34890657,-74.65938279
40.34885738,-74.65939493
40.34889889,-74.65936936
40.34892163,-74.65933511
40.34889706,-74.65937279
40.34889419,-74.65937886
40.34888407,-74.65942497
40.34887241,-74.65938072
40.34894723,-74.65912135
40.34900775,-74.6593562
40.34896339,-74.65933854
40.34903198,-74.65947286
40.34895451,-74.65931178
40.34896889,-74.65933485
40.34891761,-74.65936072
40.34896821,-74.65941478
40.34894624,-74.65929168
40.34899205,-74.65937668
40.34907551,-74.65939632
40.34896125,-74.65931281
40.34894466,-74.65937553
40.3489585,-74.65938143
40.34890316,-74.65938238
40.34886807,-74.65944497
40.34889445,-74.65945598
40.34906428,-74.65945458
40.34904081,-74.65939701
40.3488815,-74.65941637
40.34896652,-74.65939911
40.34895292,-74.65942392
40.34884069,-74.65951952
40.34894355,-74.65936992
40.34892884,-74.65945189
40.34897217,-74.65947341
40.34893291,-74.65941972
40.34893026,-74.65906194
40.34887991,-74.65936854
40.34879809,-74.65948574
40.3489202,-74.65938816
40.34889004,-74.65935181
40.34890924,-74.65916764
40.34886436,-74.65936089
40.34902627,-74.6594007
40.34898004,-74.65943704
40.34896504,-74.65933304
40.34895522,-74.65942083
40.34894625,-74.65944194
40.34891787,-74.65936388
40.34894685,-74.65937179
40.3489962,-74.65927998
40.34869162,-74.65846823
40.34876066,-74.65966414
40.34891007,-74.65927583
40.34894685,-74.65937179
40.3489962,-74.65927998
40.34869162,-74.65846823
40.34876066,-74.65966414
40.34891007,-74.65927583
40.34894685,-74.65937179
40.3489962,-74.65927998
40.34869162,-74.65846823
40.34876066,-74.65966414
40.34891007,-74.65927583
40.34882488,-74.65938507
40.34886897,-74.65937308
40.34883043,-74.65938392
40.34872459,-74.6593203
40.34879301,-74.65937087
40.34880187,-74.65886884
40.34887996,-74.65935919
40.34896086,-74.65936881
40.34901407,-74.65938973
40.34883713,-74.65937166
40.349003,-74.65944987
40.34887644,-74.65938063
40.34891005,-74.65936902
40.34887345,-74.65937517
40.34887345,-74.65937517
40.34887345,-74.65937517
40.34918229,-74.65946227
40.34918229,-74.65946227
40.34918229,-74.65946227
40.34873974,-74.65933913
40.34889083,-74.65937863
40.34884829,-74.65931811
40.34885634,-74.65932852
40.34892279,-74.65925638
40.34884883,-74.65935787
